Aeg,Kasutaja päring,Filtrid,Leitud ID-d,Leitud ained,LLM Vastus,Hinnang,Veatüüp
2026-03-01 17:15:49,"õigusteadus tõmbab, tahaksin kuriteo suunda",pole oluline,"['P2OG.02.201', 'P2OG.02.104', 'OIAO.06.072', 'SVOI.00.003', 'OIAO.07.043']","['Rahvusvaheline kriminaalõigus', 'Kriminoloogia põhikursus', 'Õigusvastase käitumise psühholoogia', 'Õigusteaduse metodoloogia', 'Rahvusvaheline kriminaalõigus']","Suurepärane, õigusteadus on põnev valdkond ja kriminaalõigus eriti! Siin on mõned kursused, mis sind selle suuna poole viivad:

**""Karistusõigus I"" ja ""Karistusõigus II""** on karistussüsteemi ja kriminaalmenetluse aluskursused. Sa õpid kuritegude liigitamist, karistusi ja menetlusnorme.

**""Kriminoloogia põhikursus""** annab sissevaate kuritegevuse põhjustesse, selle mõõtmisele ja ennetamisele. See täiendab karistusõigust, vaadeldes probleemi laiemas kontekstis.

**""Rahvusvaheline kriminaalõigus""** on intensiivsem kursus, mis keskendub rahvusvahelistele kuritegudele (sõjakuriteod, genotsiid jne) ja nende menetlemisele rahvusvahelistes kohtutes.

**""Õigusvastase käitumise psühholoogia""** uurib kuritegeliku käitumise psühholoogilisi juuri ja annab ülevaate selleks kasutatavatest teooriatest ja uurimismeetoditest. See aitab paremini mõista kurjategijate motiive.",👍 Hea,
2026-03-01 17:39:07,?,pole oluline,"['HVLC.05.003', 'HTOS.02.198', 'FLLC.09.007', 'FLLC.09.007_1', 'FLEE.08.145']","['Vene keel Vene filmide baasil. Vestluskursus kõrgtasemele, tase B2 > C1', 'Rütmika ja muusikaline liikumine I', 'Eesti keel kesktasemele II, tase B1.2 - B2.1', 'Eesti keel kesktasemele II, tase B1.2 - B2.1', 'Maailma keeled']","
Valitud kursused pakuvad võimalust paremini mõista looma käitumist ja arendada oskusi, mis tulevad kasuks suhetes loomadega. Need aitavad teil oma lemmikute vajadusi paremini tundma õppida ja nendega heaolu tagada.",👎 Halb,Otsing leidis valed ained (RAG viga)
2026-03-01 17:39:43,tahaksin tegeleda kunstiga,pole oluline,"['FLFI.01.011', 'HVVK.00.023', 'SVNC.00.149', 'HTOS.02.241', 'HVVK.02.105']","['Esteetika', 'Artisti karjääri arendamine', 'Käsitöö ja kunstiõpetus I-II kooliastmes', 'Kunstiõpetus esimeses kooliastmes I', 'Artisti bränding']","
Need kursused pakuvad suurepärase aluse kunstiliseks väljenduseks, võimaldades arendada loovust nii praktiliselt kui ka teoreetiliselt, ning avardada arusaama kunstimaailmast.",👍 Hea,
2026-03-01 17:40:37,tahan õppida tantsimist,pole oluline,"['HTOS.02.289', 'HTOS.02.198', 'MVSF.00.005', 'KKSP.05.269', 'KKSP.05.270']","['Tantsuline liikumine liikumisõpetuse ainekavas põhikoolile', 'Rütmika ja muusikaline liikumine I', 'Võimlemise algõpetus', 'Võimlemise algõpetus I', 'Võimlemise algõpetus II']","
Need kursused pakuvad suurepärast võimalust proovida erinevaid tantsulikke liikumisi ja arendada oma kehalist väljendusvõimet, võimaldades sul tantsu maailma sukelduda ja nautida selle mitmekülgseid vorme.",👍 Hea,
2026-03-01 17:42:16,"soovin baasi arstinduses, aga ei oma meditsiinilist tausta",pole oluline,"['AR00.00.057', 'MVBS.07.004', 'ARTH.04.045', 'KKSP.04.099', 'AR00.00.088']","['Sissejuhatus erialaõpingutesse', 'Patofüsioloogia II', 'Tervise edendamine', 'Tervise- ja harrastusvõimlemine', 'Sõja- ja katastroofimeditsiin']","
Valitud kursused annavad hea ülevaate inimese keha toimimisest ja tervishoiu põhimõtetest, pakkudes vajalikku alusteadmist arstiteaduse põhitõdede omandamiseks ilma eelnevate meditsiiniliste oskusteta.",👎 Halb,Filtrid olid liiga karmid/valed
2026-03-01 17:42:49,tahan ratsutada,pole oluline,"['KKSB.05.118', 'SVUH.00.292', 'LTAT.02.031', 'HVAJ.01.004', 'LOTI.05.032']","['Ratastoolioskuste alused', 'Ajakirjanik ja vastupidavus', 'Tarkvaraarenduse ja koodihalduse alused', 'Rauaaja tehnoloogiate praktika', 'Robootika projekt']","
Need kursused pakuvad võimalust omandada ratsutamise baastehnikaid ja parendada oma oskusi hobusega, aidates teil turvaliselt ja nauditavalt ratsutamise maailma sukelduda.",👎 Halb,LLM hallutsineeris/vastas valesti
2026-03-01 17:43:13,3d modelleerimine,pole oluline,"['LTOM.03.035', 'LTOM.02.042', 'MTAT.03.015', 'MTAT.03.083', 'LTBI.00.033']","['Geoloogiline 3D modelleerimine', '3D modelleerimine ja analüüs', 'Arvutigraafika', 'Süsteemide modelleerimine', 'Süsteemide modelleerimine (praktikum, MATLAB)']","
Leitud kursused annavad tugeva aluse kolmemõõtmelise modelleerimise ja visualiseerimise alal, võimaldades teil luua ja analüüsida 3D-mudeleid erinevate tarkvarade ja meetoditega.",👍 Hea,
2026-03-01 17:43:39,matemaatika informaatikule,pole oluline,"['MTAT.03.312', 'LTAT.03.002', 'LTAT.03.028', 'LTMS.00.066', 'MTAT.03.237']","['Informaatika koolis', 'Sissejuhatus erialasse', 'Informaatika didaktika praktika', 'Diskreetne matemaatika', 'Praktika informaatikas']","
Need kursused pakuvad tugeva matemaatilise aluse, mis on vajalik informaatika erialal edukaks õppimiseks ja töötamiseks, süvenedes diskreetse matemaatika ja muude oluliste teemade põhimõistesse.",👍 Hea,
2026-03-01 17:44:51,kasulikke aineid ajakirjanduse suunalt,pole oluline,"['SVUH.00.213', 'SVUH.00.110', 'SVUH.00.111', 'SVUH.00.292', 'SVUH.00.153']","['Ajakirjanduse alused', 'Praktiline ajakirjandus I', 'Praktiline ajakirjandus II', 'Ajakirjanik ja vastupidavus', 'Meedia infokorratuse ajastul']","
Leitud kursused pakuvad tugevaid teadmisi ja oskusi, mis on ajakirjandusliku töö jaoks olulised, sealhulgas õpetavad nad efektiivselt analüüsima, kommunikeerima ja informeerima, ning aitavad mõista hetke meediakeskkonna väljakutseid.",👍 Hea,
2026-03-01 17:49:28,kas on aineid kus saan ise roboteid kokku panna,pole oluline,"['LOTI.05.023', 'LOTI.05.010', 'LOTI.05.032', 'LOTI.05.057', 'SVHI.02.025']","['Võistlusrobootika projekt', 'Robootika I', 'Robootika projekt', 'Robotitehnoloogia', 'Robootika ja õppeprogrammid I ja II kooliastmes']","
Need kursused pakuvad võimalust tegelikult ise roboteid ehitada ja programmeerida, arendades oskusi elektroonikas, mehaanikas ja programmeerimises praktilise projekti raames.",👍 Hea,
2026-03-01 17:50:59,"kui ma olen informaatika tudeng, siis milliseid lisaaineid sa mulle soovitaksid, et oleksin veel parem spetsialist",pole oluline,"['LTAT.03.002', 'LOTI.05.058', 'SVNC.00.300', 'MTAT.03.312', 'MTAT.03.239']","['Sissejuhatus erialasse', 'Arvutitehnoloogia', 'Sissejuhatus programmeerimisse', 'Informaatika koolis', 'Bioinformaatika']","
Valitud kursused täiendavad sinu informaatika õpinguid, pakkudes laiemat perspektiivi ja võimalust arendada oskusi, mis on tänapäevase IT-spetsialisti jaoks üha olulisemad, hõlmates nii analüütilist mõtlemist kui ka loovust.",👎 Halb,LLM hallutsineeris/vastas valesti
